what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui",1513928319714
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1513928322503
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1513928359635
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.properties",1513928359650
started,bundle,org.eclipse.jdt.debug,3.7.1.v20110802_r371,"org.eclipse.jdt.debug",1513928361340
started,bundle,org.eclipse.jdt.debug.ui,3.6.1.v20110803_r371,"org.eclipse.jdt.debug.ui",1513928361366
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1513928361390
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1513928364472
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1513928366838
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1513928370141
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1513928370750
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1513928377593
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1513928378839
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1513928380838
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110505-0800,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1513928380846
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1513928380846
started,bundle,org.eclipse.wst.jsdt.debug.rhino.ui,1.0.0.v201103232243,"org.eclipse.wst.jsdt.debug.rhino.ui",1513928405775
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1513928406882
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1513928407552
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1513928410120
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1513928413704
closed,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1513928413704
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1513928421772
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1513928428719
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1513928456475
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1513928490361
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1513928492404
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1513928508293
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1513928511544
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1513928517445
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.import",1513928517459
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.import",1513928517459
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1513928519873
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1513928531804
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.properties",1513928531812
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1513928532540
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1513928535435
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1513928535551
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1513928540435
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1513928541038
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1513928544572
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1513928544682
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1513928547849
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1513928547947
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1513928551730
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1513928552492
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1513928562444
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1513928564746
