what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1514440821398
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1514440821550
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1514440821702
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1514440821854
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1514440822022
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1514440822182
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1514440822342
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1514440822502
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1514440822694
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1514440822878
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1514440823054
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1514440823728
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1514440882895
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1514440882919
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1514440946159
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1514440951718
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1514440964582
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1514441017032
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1514441625632
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1514441625653
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1514441626580
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1514441634652
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1514441634742
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1514441635523
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1514441654199
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1514441654219
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1514441655931
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1514441665821
started,bundle,org.eclipse.wst.ws.service.policy.ui,1.0.300.v201108240515,"org.eclipse.wst.ws.service.policy.ui",1514441666694
started,bundle,org.eclipse.wst.ws.service.policy,1.0.303.v201009221810,"org.eclipse.wst.ws.service.policy",1514441666697
started,bundle,org.eclipse.wst.command.env,1.0.409.v201004211805,"org.eclipse.wst.command.env",1514441666746
started,bundle,org.eclipse.wst.ws,1.1.203.v201004211805,"org.eclipse.wst.ws",1514441666765
