what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1513932752930
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1513932767657
executed,command,org.eclipse.jdt.debug.ui,3.6.1.v20110803_r371,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1513932777043
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1513932777060
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1513932778288
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1513932778724
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1513932797341
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1513932808703
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1513932809683
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1513932810367
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1513932935258
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1513932937598
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1513932944185
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1513932948622
executed,command,org.eclipse.jdt.debug.ui,3.6.1.v20110803_r371,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1513932954546
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1513932954567
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1513932955542
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1513932955973
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1513932963332
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1513932974343
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1513932974370
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1513932974845
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1513932975302
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1513932975605
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1513932975830
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1513932976267
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1513932977907
executed,command,org.eclipse.jdt.debug.ui,3.6.1.v20110803_r371,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1513932983874
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1513932984201
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1513932991293
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1513932993827
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1513933019353
executed,command,org.eclipse.jdt.debug.ui,3.6.1.v20110803_r371,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1513933043308
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1513933043324
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1513933044432
executed,command,org.eclipse.jdt.debug.ui,3.6.1.v20110803_r371,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1513933049269
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1513933049284
